age_group,job,marital,education,contact,month,balance_bucket,balance,campaign,pdays,previous,y
18-25,blue-collar,single,secondary,Unknown,jun,<=0,-350,3,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,1-1K,52,2,-1,0,TRUE
18-25,blue-collar,married,secondary,Unknown,jun,<=0,-295,2,-1,0,FALSE
18-25,blue-collar,single,primary,Unknown,jun,5K-20K,6100,2,-1,0,FALSE
18-25,blue-collar,single,secondary,Unknown,jun,1-1K,820,2,-1,0,FALSE
18-25,blue-collar,single,Unknown,Unknown,jun,1-1K,373,2,-1,0,FALSE
18-25,blue-collar,single,secondary,telephone,jul,1-1K,192,2,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,jul,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,218,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,913,4,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,jul,<=0,0,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,267,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,495,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,<=0,-220,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,101,3,-1,0,TRUE
18-25,blue-collar,married,secondary,cellular,jul,1K-5K,4280,2,-1,0,FALSE
18-25,blue-collar,single,secondary,telephone,jul,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,189,2,-1,0,TRUE
18-25,blue-collar,single,secondary,telephone,jul,1-1K,224,4,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1K-5K,1243,7,-1,0,TRUE
18-25,blue-collar,single,primary,cellular,jul,1K-5K,2483,3,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,jul,<=0,-375,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,<=0,0,4,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,377,4,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,158,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,195,3,-1,0,FALSE
18-25,blue-collar,single,primary,cellular,jul,1-1K,15,3,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,895,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,612,4,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,<=0,0,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,<=0,-247,1,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,jul,<=0,-2,2,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,674,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,59,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1-1K,2,2,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,<=0,-102,1,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,<=0,-23,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,jul,1-1K,76,4,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,<=0,-288,4,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,jul,1K-5K,2307,5,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,feb,1K-5K,2265,2,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,feb,1-1K,167,2,-1,0,TRUE
18-25,blue-collar,single,secondary,cellular,mar,1-1K,682,1,-1,0,TRUE
18-25,blue-collar,married,secondary,cellular,apr,<=0,-220,1,-1,0,FALSE
18-25,blue-collar,married,primary,cellular,apr,1K-5K,1158,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,525,1,332,1,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,423,1,-1,0,TRUE
18-25,blue-collar,single,Unknown,cellular,apr,1-1K,431,1,317,12,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,630,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,578,5,-1,0,FALSE
18-25,blue-collar,married,secondary,cellular,apr,1-1K,9,1,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,1-1K,104,1,339,1,FALSE
18-25,blue-collar,single,secondary,cellular,apr,<=0,-7,1,343,1,FALSE
18-25,blue-collar,married,secondary,cellular,apr,<=0,-220,1,15,1,FALSE
18-25,blue-collar,married,secondary,cellular,apr,1-1K,204,3,-1,0,FALSE
18-25,blue-collar,single,secondary,cellular,apr,<=0,-424,6,-1,0,FALSE
