age_group,job,marital,education,balance_bucket,contact,month,success_flag
18-25,admin.,single,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,1-1K,telephone,jul,0
18-25,admin.,single,secondary,<=0,cellular,jul,0
18-25,admin.,married,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,1-1K,cellular,jul,0
18-25,admin.,married,secondary,1-1K,cellular,jul,0
18-25,admin.,married,Unknown,1-1K,cellular,jul,1
18-25,admin.,married,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,<=0,cellular,jul,0
18-25,admin.,married,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,1-1K,telephone,jul,0
18-25,admin.,single,secondary,<=0,cellular,jul,0
18-25,admin.,single,secondary,1-1K,telephone,nov,0
18-25,admin.,single,secondary,1-1K,cellular,feb,1
18-25,admin.,single,secondary,1-1K,cellular,feb,0
18-25,admin.,single,tertiary,1-1K,cellular,feb,1
18-25,admin.,single,secondary,1-1K,cellular,feb,0
18-25,admin.,single,secondary,1-1K,cellular,feb,1
18-25,admin.,single,tertiary,1-1K,cellular,feb,0
18-25,admin.,single,tertiary,1K-5K,cellular,feb,1
18-25,admin.,single,secondary,1K-5K,cellular,mar,0
18-25,admin.,single,tertiary,<=0,cellular,mar,0
18-25,admin.,single,tertiary,<=0,cellular,mar,1
18-25,admin.,single,secondary,1-1K,cellular,mar,0
18-25,admin.,single,tertiary,1-1K,cellular,mar,0
18-25,admin.,single,secondary,1-1K,cellular,mar,1
18-25,admin.,single,secondary,1-1K,cellular,mar,0
18-25,admin.,single,secondary,1-1K,cellular,apr,0
18-25,admin.,single,secondary,1-1K,cellular,apr,1
18-25,admin.,single,secondary,1-1K,cellular,apr,0
18-25,admin.,single,tertiary,1-1K,cellular,apr,1
18-25,admin.,single,tertiary,1K-5K,cellular,apr,0
18-25,admin.,single,secondary,1-1K,cellular,apr,0
18-25,admin.,married,secondary,<=0,cellular,apr,0
18-25,admin.,single,secondary,<=0,cellular,apr,0
18-25,admin.,single,secondary,1-1K,cellular,apr,0
18-25,admin.,single,secondary,1K-5K,cellular,apr,1
18-25,admin.,single,secondary,1-1K,cellular,apr,0
18-25,admin.,single,secondary,1K-5K,cellular,apr,1
18-25,admin.,single,tertiary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,<=0,cellular,may,0
18-25,admin.,single,secondary,<=0,cellular,may,0
18-25,admin.,single,tertiary,1K-5K,cellular,may,0
18-25,admin.,single,tertiary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,married,secondary,1-1K,cellular,may,0
18-25,admin.,married,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1K-5K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,1
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1K-5K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,married,secondary,1-1K,cellular,may,0
18-25,admin.,married,secondary,1-1K,cellular,may,0
18-25,admin.,married,secondary,<=0,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,tertiary,1K-5K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,1
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,married,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1K-5K,cellular,may,0
18-25,admin.,single,secondary,1K-5K,cellular,may,0
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,tertiary,1-1K,cellular,may,0
18-25,admin.,married,tertiary,1-1K,cellular,may,1
18-25,admin.,single,secondary,1-1K,cellular,may,1
18-25,admin.,single,tertiary,<=0,cellular,may,1
18-25,admin.,single,secondary,1-1K,cellular,may,0
18-25,admin.,single,secondary,1K-5K,cellular,may,0
18-25,admin.,single,tertiary,1-1K,cellular,may,1
18-25,admin.,single,secondary,1-1K,cellular,jun,0
18-25,admin.,single,secondary,1K-5K,cellular,jun,1
18-25,admin.,single,secondary,1-1K,cellular,jun,0
18-25,admin.,single,tertiary,1-1K,cellular,jun,0
18-25,admin.,single,tertiary,1-1K,cellular,jun,0
18-25,admin.,single,tertiary,1-1K,cellular,jun,0
18-25,admin.,single,tertiary,1K-5K,cellular,jun,0
18-25,admin.,single,tertiary,1-1K,cellular,jun,0
18-25,admin.,single,secondary,<=0,cellular,jun,0
18-25,admin.,single,secondary,1-1K,cellular,jul,1
18-25,admin.,single,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,1-1K,cellular,jul,0
18-25,admin.,single,secondary,1K-5K,cellular,aug,0
18-25,admin.,single,tertiary,1-1K,cellular,aug,0
18-25,admin.,single,tertiary,<=0,cellular,sep,0
18-25,admin.,single,secondary,1K-5K,cellular,sep,1
18-25,admin.,single,tertiary,1K-5K,cellular,oct,1
18-25,admin.,single,tertiary,1-1K,cellular,feb,1
18-25,admin.,single,secondary,1K-5K,cellular,apr,1
18-25,admin.,single,tertiary,1-1K,cellular,jul,1
18-25,admin.,single,secondary,1K-5K,cellular,jul,0
18-25,admin.,single,secondary,1K-5K,cellular,jul,1
18-25,admin.,single,secondary,1-1K,Unknown,aug,0
18-25,admin.,single,secondary,1-1K,cellular,sep,1
18-25,admin.,single,secondary,1-1K,cellular,oct,1
18-25,admin.,single,tertiary,1K-5K,cellular,oct,0
18-25,admin.,single,tertiary,1K-5K,cellular,oct,0
18-25,blue-collar,married,secondary,<=0,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,primary,<=0,Unknown,may,0
18-25,blue-collar,single,primary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,primary,1K-5K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,Unknown,1-1K,Unknown,may,0
18-25,blue-collar,married,primary,<=0,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,primary,<=0,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,primary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,primary,1-1K,Unknown,may,1
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,primary,<=0,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,Unknown,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1K-5K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,primary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,primary,<=0,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,<=0,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,1
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,primary,<=0,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,secondary,1K-5K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,primary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,1
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,primary,1-1K,Unknown,may,0
18-25,blue-collar,married,primary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,5K-20K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,<=0,Unknown,may,0
18-25,blue-collar,married,primary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1K-5K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,divorced,secondary,1K-5K,Unknown,may,0
18-25,blue-collar,single,primary,1K-5K,Unknown,may,0
18-25,blue-collar,married,secondary,1K-5K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,married,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1K-5K,Unknown,may,0
18-25,blue-collar,married,primary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,1K-5K,Unknown,may,0
18-25,blue-collar,single,secondary,5K-20K,Unknown,may,0
18-25,blue-collar,single,primary,1-1K,Unknown,may,0
18-25,blue-collar,single,secondary,<=0,Unknown,may,0
18-25,blue-collar,single,primary,1-1K,Unknown,jun,0
18-25,blue-collar,single,secondary,1-1K,Unknown,jun,0
18-25,blue-collar,single,secondary,1K-5K,Unknown,jun,0
18-25,blue-collar,married,primary,<=0,Unknown,jun,0
18-25,blue-collar,married,secondary,1K-5K,Unknown,jun,0
18-25,blue-collar,single,secondary,1K-5K,Unknown,jun,0
18-25,blue-collar,single,Unknown,1-1K,Unknown,jun,0
18-25,blue-collar,single,secondary,<=0,Unknown,jun,0
18-25,blue-collar,single,secondary,1K-5K,Unknown,jun,0
18-25,blue-collar,single,primary,5K-20K,Unknown,jun,0
18-25,blue-collar,married,secondary,<=0,Unknown,jun,1
18-25,blue-collar,single,primary,1-1K,Unknown,jun,0
18-25,blue-collar,single,secondary,<=0,Unknown,jun,0
18-25,blue-collar,single,secondary,<=0,Unknown,jun,0
18-25,blue-collar,single,secondary,1-1K,Unknown,jun,0
18-25,blue-collar,single,secondary,1-1K,Unknown,jun,1
18-25,blue-collar,single,secondary,1-1K,Unknown,jun,0
18-25,blue-collar,married,primary,<=0,Unknown,jun,0
18-25,blue-collar,single,secondary,1-1K,Unknown,jun,0
18-25,blue-collar,married,secondary,<=0,Unknown,jun,0
18-25,blue-collar,divorced,secondary,1-1K,Unknown,jun,0
18-25,blue-collar,single,secondary,1-1K,Unknown,jun,0
18-25,blue-collar,single,primary,1-1K,Unknown,jun,0
18-25,blue-collar,married,primary,<=0,Unknown,jun,0
18-25,blue-collar,single,secondary,<=0,Unknown,jun,1
18-25,blue-collar,married,secondary,<=0,Unknown,jun,0
18-25,blue-collar,married,secondary,1K-5K,Unknown,jun,0
18-25,blue-collar,single,secondary,<=0,Unknown,jun,1
18-25,blue-collar,married,secondary,<=0,Unknown,jun,0
18-25,blue-collar,single,secondary,1-1K,Unknown,jun,0
18-25,blue-collar,single,secondary,<=0,Unknown,jun,0
18-25,blue-collar,single,primary,1-1K,Unknown,jun,1
18-25,blue-collar,married,secondary,<=0,Unknown,jun,0
18-25,blue-collar,single,primary,5K-20K,Unknown,jun,0
18-25,blue-collar,single,secondary,1-1K,Unknown,jun,0
18-25,blue-collar,single,Unknown,1-1K,Unknown,jun,0
18-25,blue-collar,single,secondary,1-1K,telephone,jul,0
18-25,blue-collar,married,primary,<=0,cellular,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,married,primary,<=0,cellular,jul,0
18-25,blue-collar,married,secondary,1-1K,cellular,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,single,secondary,<=0,cellular,jul,0
18-25,blue-collar,married,secondary,1-1K,cellular,jul,1
18-25,blue-collar,married,secondary,1K-5K,cellular,jul,0
18-25,blue-collar,single,secondary,<=0,telephone,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,1
18-25,blue-collar,single,secondary,1-1K,telephone,jul,0
18-25,blue-collar,single,secondary,1K-5K,cellular,jul,1
18-25,blue-collar,single,primary,1K-5K,cellular,jul,1
18-25,blue-collar,single,secondary,<=0,cellular,jul,0
18-25,blue-collar,married,secondary,<=0,cellular,jul,1
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,single,primary,1-1K,cellular,jul,0
18-25,blue-collar,married,secondary,1-1K,cellular,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,single,secondary,<=0,cellular,jul,0
18-25,blue-collar,single,secondary,<=0,cellular,jul,1
18-25,blue-collar,single,secondary,<=0,cellular,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,married,secondary,1-1K,cellular,jul,0
18-25,blue-collar,married,secondary,1-1K,cellular,jul,0
18-25,blue-collar,married,secondary,<=0,cellular,jul,0
18-25,blue-collar,married,secondary,<=0,cellular,jul,0
18-25,blue-collar,single,secondary,1-1K,cellular,jul,0
18-25,blue-collar,married,secondary,<=0,cellular,jul,0
18-25,blue-collar,married,secondary,1K-5K,cellular,jul,0
18-25,blue-collar,single,secondary,1K-5K,cellular,feb,1
18-25,blue-collar,single,secondary,1-1K,cellular,feb,1
18-25,blue-collar,single,secondary,1-1K,cellular,mar,1
18-25,blue-collar,married,secondary,<=0,cellular,apr,0
18-25,blue-collar,married,primary,1K-5K,cellular,apr,0
18-25,blue-collar,single,secondary,1-1K,cellular,apr,0
18-25,blue-collar,single,secondary,1-1K,cellular,apr,1
18-25,blue-collar,single,Unknown,1-1K,cellular,apr,0
18-25,blue-collar,single,secondary,1-1K,cellular,apr,0
18-25,blue-collar,single,secondary,1-1K,cellular,apr,0
18-25,blue-collar,married,secondary,1-1K,cellular,apr,0
18-25,blue-collar,single,secondary,1-1K,cellular,apr,0
18-25,blue-collar,single,secondary,<=0,cellular,apr,0
18-25,blue-collar,married,secondary,<=0,cellular,apr,0
18-25,blue-collar,married,secondary,1-1K,cellular,apr,0
18-25,blue-collar,single,secondary,<=0,cellular,apr,0
18-25,blue-collar,single,secondary,1K-5K,cellular,apr,0
18-25,blue-collar,single,Unknown,1-1K,cellular,apr,0
18-25,blue-collar,married,secondary,1K-5K,cellular,apr,0
18-25,blue-collar,single,primary,1-1K,cellular,apr,0
18-25,blue-collar,married,secondary,<=0,cellular,apr,0
18-25,blue-collar,single,secondary,1-1K,cellular,apr,0
18-25,blue-collar,single,secondary,<=0,cellular,apr,1
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1K-5K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,telephone,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,married,secondary,1-1K,cellular,may,0
18-25,blue-collar,married,primary,<=0,cellular,may,0
18-25,blue-collar,single,secondary,5K-20K,cellular,may,0
18-25,blue-collar,single,secondary,<=0,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,primary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,<=0,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,married,secondary,1K-5K,cellular,may,0
18-25,blue-collar,single,secondary,<=0,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,telephone,may,0
18-25,blue-collar,single,primary,<=0,telephone,may,0
18-25,blue-collar,married,secondary,<=0,cellular,may,0
18-25,blue-collar,single,secondary,1K-5K,cellular,may,0
18-25,blue-collar,married,primary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,<=0,cellular,may,0
18-25,blue-collar,married,primary,<=0,cellular,may,1
18-25,blue-collar,single,primary,1K-5K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,primary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,<=0,cellular,may,1
18-25,blue-collar,single,secondary,1-1K,cellular,may,1
18-25,blue-collar,single,primary,1-1K,cellular,may,0
18-25,blue-collar,married,secondary,<=0,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,tertiary,1K-5K,cellular,may,0
18-25,blue-collar,single,primary,5K-20K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,1
18-25,blue-collar,divorced,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,married,primary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1K-5K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,primary,1K-5K,telephone,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,1
18-25,blue-collar,married,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1K-5K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,1
18-25,blue-collar,single,Unknown,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,<=0,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,primary,1-1K,cellular,may,1
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,primary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,<=0,cellular,may,0
18-25,blue-collar,single,secondary,5K-20K,cellular,may,0
18-25,blue-collar,single,secondary,1K-5K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,1
18-25,blue-collar,single,secondary,1-1K,cellular,may,1
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,may,0
18-25,blue-collar,single,Unknown,1-1K,cellular,may,0
18-25,blue-collar,single,secondary,1K-5K,cellular,may,0
18-25,blue-collar,single,secondary,1-1K,cellular,jun,1
18-25,blue-collar,single,secondary,1-1K,cellular,jun,1
18-25,blue-collar,single,primary,1-1K,cellular,jun,0
18-25,blue-collar,single,secondary,5K-20K,cellular,jul,1
18-25,blue-collar,married,secondary,1-1K,cellular,aug,1
18-25,blue-collar,single,secondary,1K-5K,cellular,oct,1
18-25,blue-collar,married,secondary,1-1K,cellular,nov,1
18-25,blue-collar,single,primary,1K-5K,cellular,nov,0
18-25,blue-collar,single,secondary,1K-5K,cellular,dec,0
18-25,blue-collar,single,secondary,1K-5K,cellular,jan,1
18-25,blue-collar,single,secondary,1-1K,cellular,mar,1
18-25,blue-collar,single,secondary,1-1K,cellular,mar,1
18-25,blue-collar,single,secondary,1K-5K,cellular,apr,1
18-25,blue-collar,single,primary,1K-5K,telephone,apr,0
18-25,blue-collar,single,secondary,1-1K,cellular,jun,1
18-25,blue-collar,single,secondary,1K-5K,cellular,jul,1
18-25,blue-collar,single,primary,<=0,Unknown,oct,0
18-25,blue-collar,single,secondary,1K-5K,cellular,oct,1
18-25,entrepreneur,married,tertiary,1-1K,Unknown,may,0
18-25,entrepreneur,single,primary,1-1K,Unknown,may,1
18-25,entrepreneur,single,tertiary,1-1K,Unknown,may,0
18-25,entrepreneur,single,primary,<=0,Unknown,may,0
18-25,entrepreneur,single,tertiary,<=0,Unknown,jun,0
18-25,entrepreneur,married,tertiary,1-1K,cellular,jul,0
18-25,entrepreneur,married,tertiary,1-1K,cellular,jul,0
18-25,entrepreneur,married,tertiary,1-1K,cellular,aug,0
18-25,entrepreneur,single,tertiary,1-1K,cellular,may,0
18-25,entrepreneur,single,tertiary,5K-20K,cellular,may,0
18-25,entrepreneur,single,secondary,1K-5K,cellular,may,0
18-25,entrepreneur,single,secondary,1-1K,cellular,may,0
18-25,entrepreneur,single,tertiary,1-1K,cellular,aug,1
18-25,entrepreneur,single,tertiary,1K-5K,cellular,aug,1
18-25,housemaid,single,secondary,1-1K,Unknown,may,0
18-25,housemaid,married,primary,1-1K,cellular,jul,0
18-25,housemaid,married,tertiary,1K-5K,cellular,jul,0
18-25,housemaid,married,tertiary,1-1K,cellular,may,1
18-25,housemaid,single,secondary,1-1K,cellular,may,0
18-25,housemaid,single,primary,1-1K,cellular,may,0
18-25,housemaid,single,secondary,1K-5K,cellular,jun,1
18-25,management,single,tertiary,1K-5K,Unknown,may,0
18-25,management,single,tertiary,1K-5K,Unknown,may,0
18-25,management,single,Unknown,1-1K,Unknown,may,0
18-25,management,married,tertiary,1-1K,Unknown,may,0
18-25,management,single,secondary,1-1K,Unknown,may,0
18-25,management,single,tertiary,1K-5K,Unknown,may,0
18-25,management,single,tertiary,1-1K,Unknown,may,0
18-25,management,single,tertiary,1-1K,Unknown,may,0
18-25,management,single,secondary,1-1K,Unknown,may,0
18-25,management,married,tertiary,1-1K,Unknown,may,0
18-25,management,single,tertiary,1-1K,Unknown,may,0
18-25,management,single,tertiary,1-1K,Unknown,may,0
18-25,management,married,secondary,1K-5K,Unknown,may,0
18-25,management,single,Unknown,1-1K,Unknown,may,0
18-25,management,single,secondary,1-1K,Unknown,jun,0
18-25,management,married,primary,1-1K,Unknown,jun,1
18-25,management,single,tertiary,1K-5K,Unknown,jun,0
18-25,management,single,tertiary,1-1K,Unknown,jun,0
18-25,management,single,tertiary,1-1K,Unknown,jun,0
18-25,management,single,tertiary,1-1K,Unknown,jun,0
18-25,management,married,secondary,1-1K,Unknown,jun,1
18-25,management,single,secondary,1-1K,Unknown,jun,0
18-25,management,single,tertiary,1-1K,Unknown,jul,0
18-25,management,single,tertiary,1K-5K,cellular,jul,0
18-25,management,single,secondary,1K-5K,cellular,jul,0
18-25,management,single,Unknown,1-1K,cellular,jul,0
18-25,management,single,tertiary,1-1K,Unknown,jul,0
18-25,management,single,tertiary,1-1K,cellular,jul,0
18-25,management,single,tertiary,<=0,cellular,jul,0
18-25,management,married,tertiary,1-1K,cellular,jul,0
18-25,management,married,tertiary,1-1K,cellular,jul,0
18-25,management,married,secondary,1K-5K,cellular,jul,1
18-25,management,married,tertiary,1-1K,cellular,jul,0
18-25,management,single,tertiary,1-1K,cellular,jul,0
